T12,Expenditure on health,,,,,
626,Timor-Leste,2005,Current health expenditure (% of GDP),5.3,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
626,Timor-Leste,2010,Current health expenditure (% of GDP),6.5,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
626,Timor-Leste,2017,Current health expenditure (% of GDP),6.7,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
626,Timor-Leste,2018,Current health expenditure (% of GDP),7.6,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
626,Timor-Leste,2019,Current health expenditure (% of GDP),7.2,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
626,Timor-Leste,2005,Domestic general government health expenditure (% of total government expenditure),3.6,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
626,Timor-Leste,2010,Domestic general government health expenditure (% of total government expenditure),2.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
626,Timor-Leste,2017,Domestic general government health expenditure (% of total government expenditure),5.1,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
626,Timor-Leste,2018,Domestic general government health expenditure (% of total government expenditure),5.2,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
626,Timor-Leste,2019,Domestic general government health expenditure (% of total government expenditure),4.8,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
768,Togo,2000,Current health expenditure (% of GDP),2.8,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
768,Togo,2005,Current health expenditure (% of GDP),3.3,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
768,Togo,2010,Current health expenditure (% of GDP),4.5,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
768,Togo,2017,Current health expenditure (% of GDP),6.5,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
768,Togo,2018,Current health expenditure (% of GDP),6.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
768,Togo,2019,Current health expenditure (% of GDP),5.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
768,Togo,2000,Domestic general government health expenditure (% of total government expenditure),2.4,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
768,Togo,2005,Domestic general government health expenditure (% of total government expenditure),3.8,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
768,Togo,2010,Domestic general government health expenditure (% of total government expenditure),7.4,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
768,Togo,2017,Domestic general government health expenditure (% of total government expenditure),6.5,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
768,Togo,2018,Domestic general government health expenditure (% of total government expenditure),5.5,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
768,Togo,2019,Domestic general government health expenditure (% of total government expenditure),5.4,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
776,Tonga,2000,Current health expenditure (% of GDP),3.0,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
776,Tonga,2005,Current health expenditure (% of GDP),4.5,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
776,Tonga,2010,Current health expenditure (% of GDP),5.0,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
776,Tonga,2017,Current health expenditure (% of GDP),5.1,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
776,Tonga,2018,Current health expenditure (% of GDP),5.1,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
776,Tonga,2019,Current health expenditure (% of GDP),5.0,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
776,Tonga,2000,Domestic general government health expenditure (% of total government expenditure),11.4,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
776,Tonga,2005,Domestic general government health expenditure (% of total government expenditure),13.1,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
776,Tonga,2010,Domestic general government health expenditure (% of total government expenditure),10.1,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
776,Tonga,2017,Domestic general government health expenditure (% of total government expenditure),7.3,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
776,Tonga,2018,Domestic general government health expenditure (% of total government expenditure),8.1,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
776,Tonga,2019,Domestic general government health expenditure (% of total government expenditure),7.5,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
780,Trinidad and Tobago,2000,Current health expenditure (% of GDP),4.2,Data revision.;Data refer to fiscal years beginning 1 October.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
780,Trinidad and Tobago,2005,Current health expenditure (% of GDP),4.4,Data revision.;Data refer to fiscal years beginning 1 October.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
780,Trinidad and Tobago,2010,Current health expenditure (% of GDP),5.1,Data revision.;Data refer to fiscal years beginning 1 October.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
780,Trinidad and Tobago,2017,Current health expenditure (% of GDP),7.0,Data revision.;Data refer to fiscal years beginning 1 October.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
780,Trinidad and Tobago,2018,Current health expenditure (% of GDP),6.7,Data revision.;Data refer to fiscal years beginning 1 October.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
780,Trinidad and Tobago,2019,Current health expenditure (% of GDP),7.0,Data revision.;Data refer to fiscal years beginning 1 October.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
780,Trinidad and Tobago,2000,Domestic general government health expenditure (% of total government expenditure),6.8,Data revision.;Data refer to fiscal years beginning 1 October.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
780,Trinidad and Tobago,2005,Domestic general government health expenditure (% of total government expenditure),8.0,Data revision.;Data refer to fiscal years beginning 1 October.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
780,Trinidad and Tobago,2010,Domestic general government health expenditure (% of total government expenditure),8.0,Data revision.;Data refer to fiscal years beginning 1 October.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
780,Trinidad and Tobago,2017,Domestic general government health expenditure (% of total government expenditure),11.2,Data revision.;Data refer to fiscal years beginning 1 October.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
780,Trinidad and Tobago,2018,Domestic general government health expenditure (% of total government expenditure),10.7,Data revision.;Data refer to fiscal years beginning 1 October.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
780,Trinidad and Tobago,2019,Domestic general government health expenditure (% of total government expenditure),10.2,Data revision.;Data refer to fiscal years beginning 1 October.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
788,Tunisia,2000,Current health expenditure (% of GDP),5.0,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
788,Tunisia,2005,Current health expenditure (% of GDP),5.4,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
788,Tunisia,2010,Current health expenditure (% of GDP),5.9,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
788,Tunisia,2017,Current health expenditure (% of GDP),6.8,Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
788,Tunisia,2018,Current health expenditure (% of GDP),6.8,Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
788,Tunisia,2019,Current health expenditure (% of GDP),7.0,Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
788,Tunisia,2000,Domestic general government health expenditure (% of total government expenditure),10.5,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
788,Tunisia,2005,Domestic general government health expenditure (% of total government expenditure),11.4,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
788,Tunisia,2010,Domestic general government health expenditure (% of total government expenditure),13.0,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
788,Tunisia,2017,Domestic general government health expenditure (% of total government expenditure),12.6,Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
788,Tunisia,2018,Domestic general government health expenditure (% of total government expenditure),12.6,Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
788,Tunisia,2019,Domestic general government health expenditure (% of total government expenditure),12.6,Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
792,Türkiye,2000,Current health expenditure (% of GDP),4.6,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
792,Türkiye,2005,Current health expenditure (% of GDP),4.9,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
792,Türkiye,2010,Current health expenditure (% of GDP),5.0,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
792,Türkiye,2017,Current health expenditure (% of GDP),4.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
792,Türkiye,2018,Current health expenditure (% of GDP),4.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
792,Türkiye,2019,Current health expenditure (% of GDP),4.3,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
792,Türkiye,2000,Domestic general government health expenditure (% of total government expenditure),7.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
792,Türkiye,2005,Domestic general government health expenditure (% of total government expenditure),10.3,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
792,Türkiye,2010,Domestic general government health expenditure (% of total government expenditure),10.9,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
792,Türkiye,2017,Domestic general government health expenditure (% of total government expenditure),9.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
792,Türkiye,2018,Domestic general government health expenditure (% of total government expenditure),9.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
792,Türkiye,2019,Domestic general government health expenditure (% of total government expenditure),9.5,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
795,Turkmenistan,2000,Current health expenditure (% of GDP),6.9,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
795,Turkmenistan,2005,Current health expenditure (% of GDP),9.6,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
795,Turkmenistan,2010,Current health expenditure (% of GDP),5.0,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
795,Turkmenistan,2017,Current health expenditure (% of GDP),6.9,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
795,Turkmenistan,2018,Current health expenditure (% of GDP),6.6,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
795,Turkmenistan,2019,Current health expenditure (% of GDP),6.6,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
795,Turkmenistan,2000,Domestic general government health expenditure (% of total government expenditure),13.3,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
795,Turkmenistan,2005,Domestic general government health expenditure (% of total government expenditure),10.3,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
795,Turkmenistan,2010,Domestic general government health expenditure (% of total government expenditure),8.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
795,Turkmenistan,2017,Domestic general government health expenditure (% of total government expenditure),8.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
795,Turkmenistan,2018,Domestic general government health expenditure (% of total government expenditure),8.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
795,Turkmenistan,2019,Domestic general government health expenditure (% of total government expenditure),8.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
798,Tuvalu,2000,Current health expenditure (% of GDP),24.2,General government expenditure (GGE) can be larger than the Gross domestic product (GDP) because government accounts for a very large part of domestic consumption and because a large part of domestic consumption in the country is accounted for by imports.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
798,Tuvalu,2005,Current health expenditure (% of GDP),11.4,General government expenditure (GGE) can be larger than the Gross domestic product (GDP) because government accounts for a very large part of domestic consumption and because a large part of domestic consumption in the country is accounted for by imports.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
798,Tuvalu,2010,Current health expenditure (% of GDP),16.9,General government expenditure (GGE) can be larger than the Gross domestic product (GDP) because government accounts for a very large part of domestic consumption and because a large part of domestic consumption in the country is accounted for by imports.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
798,Tuvalu,2017,Current health expenditure (% of GDP),16.8,General government expenditure (GGE) can be larger than the Gross domestic product (GDP) because government accounts for a very large part of domestic consumption and because a large part of domestic consumption in the country is accounted for by imports.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
798,Tuvalu,2018,Current health expenditure (% of GDP),19.0,General government expenditure (GGE) can be larger than the Gross domestic product (GDP) because government accounts for a very large part of domestic consumption and because a large part of domestic consumption in the country is accounted for by imports.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
798,Tuvalu,2019,Current health expenditure (% of GDP),24.0,General government expenditure (GGE) can be larger than the Gross domestic product (GDP) because government accounts for a very large part of domestic consumption and because a large part of domestic consumption in the country is accounted for by imports.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
798,Tuvalu,2000,Domestic general government health expenditure (% of total government expenditure),11.9,General government expenditure (GGE) can be larger than the Gross domestic product (GDP) because government accounts for a very large part of domestic consumption and because a large part of domestic consumption in the country is accounted for by imports.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
798,Tuvalu,2005,Domestic general government health expenditure (% of total government expenditure),11.6,General government expenditure (GGE) can be larger than the Gross domestic product (GDP) because government accounts for a very large part of domestic consumption and because a large part of domestic consumption in the country is accounted for by imports.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
798,Tuvalu,2010,Domestic general government health expenditure (% of total government expenditure),14.8,General government expenditure (GGE) can be larger than the Gross domestic product (GDP) because government accounts for a very large part of domestic consumption and because a large part of domestic consumption in the country is accounted for by imports.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
798,Tuvalu,2017,Domestic general government health expenditure (% of total government expenditure),10.5,General government expenditure (GGE) can be larger than the Gross domestic product (GDP) because government accounts for a very large part of domestic consumption and because a large part of domestic consumption in the country is accounted for by imports.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
798,Tuvalu,2018,Domestic general government health expenditure (% of total government expenditure),11.9,General government expenditure (GGE) can be larger than the Gross domestic product (GDP) because government accounts for a very large part of domestic consumption and because a large part of domestic consumption in the country is accounted for by imports.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
798,Tuvalu,2019,Domestic general government health expenditure (% of total government expenditure),13.8,General government expenditure (GGE) can be larger than the Gross domestic product (GDP) because government accounts for a very large part of domestic consumption and because a large part of domestic consumption in the country is accounted for by imports.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
800,Uganda,2000,Current health expenditure (% of GDP),5.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
800,Uganda,2005,Current health expenditure (% of GDP),5.8,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
800,Uganda,2010,Current health expenditure (% of GDP),6.8,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
800,Uganda,2017,Current health expenditure (% of GDP),4.0,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
800,Uganda,2018,Current health expenditure (% of GDP),4.0,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
800,Uganda,2019,Current health expenditure (% of GDP),3.8,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
800,Uganda,2000,Domestic general government health expenditure (% of total government expenditure),8.3,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
800,Uganda,2005,Domestic general government health expenditure (% of total government expenditure),6.9,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
800,Uganda,2010,Domestic general government health expenditure (% of total government expenditure),6.9,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
800,Uganda,2017,Domestic general government health expenditure (% of total government expenditure),4.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
800,Uganda,2018,Domestic general government health expenditure (% of total government expenditure),4.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
800,Uganda,2019,Domestic general government health expenditure (% of total government expenditure),3.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
804,Ukraine,2000,Current health expenditure (% of GDP),5.3,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
804,Ukraine,2005,Current health expenditure (% of GDP),6.3,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
804,Ukraine,2010,Current health expenditure (% of GDP),6.8,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
804,Ukraine,2017,Current health expenditure (% of GDP),7.4,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
804,Ukraine,2018,Current health expenditure (% of GDP),7.5,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
804,Ukraine,2019,Current health expenditure (% of GDP),7.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
804,Ukraine,2000,Domestic general government health expenditure (% of total government expenditure),7.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
804,Ukraine,2005,Domestic general government health expenditure (% of total government expenditure),8.4,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
804,Ukraine,2010,Domestic general government health expenditure (% of total government expenditure),7.5,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
804,Ukraine,2017,Domestic general government health expenditure (% of total government expenditure),8.5,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
804,Ukraine,2018,Domestic general government health expenditure (% of total government expenditure),8.4,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
804,Ukraine,2019,Domestic general government health expenditure (% of total government expenditure),7.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
784,United Arab Emirates,2000,Current health expenditure (% of GDP),2.4,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
784,United Arab Emirates,2005,Current health expenditure (% of GDP),2.3,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
784,United Arab Emirates,2010,Current health expenditure (% of GDP),3.9,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
784,United Arab Emirates,2017,Current health expenditure (% of GDP),4.1,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
784,United Arab Emirates,2018,Current health expenditure (% of GDP),4.1,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
784,United Arab Emirates,2019,Current health expenditure (% of GDP),4.3,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
784,United Arab Emirates,2000,Domestic general government health expenditure (% of total government expenditure),7.6,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
784,United Arab Emirates,2005,Domestic general government health expenditure (% of total government expenditure),8.4,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
784,United Arab Emirates,2010,Domestic general government health expenditure (% of total government expenditure),8.5,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
784,United Arab Emirates,2017,Domestic general government health expenditure (% of total government expenditure),7.4,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
784,United Arab Emirates,2018,Domestic general government health expenditure (% of total government expenditure),7.4,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
784,United Arab Emirates,2019,Domestic general government health expenditure (% of total government expenditure),7.4,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
826,United Kingdom,2000,Current health expenditure (% of GDP),7.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
826,United Kingdom,2005,Current health expenditure (% of GDP),8.4,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
826,United Kingdom,2010,Current health expenditure (% of GDP),9.8,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
826,United Kingdom,2017,Current health expenditure (% of GDP),9.8,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
826,United Kingdom,2018,Current health expenditure (% of GDP),9.9,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
826,United Kingdom,2019,Current health expenditure (% of GDP),10.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
826,United Kingdom,2000,Domestic general government health expenditure (% of total government expenditure),15.6,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
826,United Kingdom,2005,Domestic general government health expenditure (% of total government expenditure),16.6,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
826,United Kingdom,2010,Domestic general government health expenditure (% of total government expenditure),17.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
826,United Kingdom,2017,Domestic general government health expenditure (% of total government expenditure),18.9,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
826,United Kingdom,2018,Domestic general government health expenditure (% of total government expenditure),19.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
826,United Kingdom,2019,Domestic general government health expenditure (% of total government expenditure),19.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
834,United Rep. of Tanzania,2000,Current health expenditure (% of GDP),3.4,"Data revision.;Tanzania mainland only, excluding Zanzibar.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
834,United Rep. of Tanzania,2005,Current health expenditure (% of GDP),6.3,"Data revision.;Tanzania mainland only, excluding Zanzibar.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
834,United Rep. of Tanzania,2010,Current health expenditure (% of GDP),5.2,"Data revision.;Tanzania mainland only, excluding Zanzibar.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
834,United Rep. of Tanzania,2017,Current health expenditure (% of GDP),4.1,"Data revision.;Tanzania mainland only, excluding Zanzibar.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
834,United Rep. of Tanzania,2018,Current health expenditure (% of GDP),4.2,"Data revision.;Tanzania mainland only, excluding Zanzibar.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
834,United Rep. of Tanzania,2019,Current health expenditure (% of GDP),3.8,"Data revision.;Tanzania mainland only, excluding Zanzibar.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
834,United Rep. of Tanzania,2000,Domestic general government health expenditure (% of total government expenditure),6.1,"Data revision.;Tanzania mainland only, excluding Zanzibar.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
834,United Rep. of Tanzania,2005,Domestic general government health expenditure (% of total government expenditure),12.6,"Data revision.;Tanzania mainland only, excluding Zanzibar.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
834,United Rep. of Tanzania,2010,Domestic general government health expenditure (% of total government expenditure),7.3,"Data revision.;Tanzania mainland only, excluding Zanzibar.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
834,United Rep. of Tanzania,2017,Domestic general government health expenditure (% of total government expenditure),9.5,"Data revision.;Tanzania mainland only, excluding Zanzibar.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
834,United Rep. of Tanzania,2018,Domestic general government health expenditure (% of total government expenditure),9.4,"Data revision.;Tanzania mainland only, excluding Zanzibar.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
