T28,Water supply and sanitation services,,,,,
634,Qatar,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",76.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
634,Qatar,2015,"Safely managed drinking water sources, total (Proportion of population with access)",96.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
634,Qatar,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",91.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
634,Qatar,2020,"Safely managed drinking water sources, total (Proportion of population with access)",96.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
634,Qatar,2020,"Safely managed sanitation facilities, total (Proportion of population with access)",97.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
410,Republic of Korea,2010,"Safely managed drinking water sources, total (Proportion of population with access)",97.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
410,Republic of Korea,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",88.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
410,Republic of Korea,2015,"Safely managed drinking water sources, total (Proportion of population with access)",98.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
410,Republic of Korea,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",95.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
410,Republic of Korea,2020,"Safely managed drinking water sources, total (Proportion of population with access)",99.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
410,Republic of Korea,2020,"Safely managed sanitation facilities, total (Proportion of population with access)",99.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
498,Republic of Moldova,2010,"Safely managed drinking water sources, total (Proportion of population with access)",62.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
498,Republic of Moldova,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",75.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
498,Republic of Moldova,2015,"Safely managed drinking water sources, total (Proportion of population with access)",72.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
498,Republic of Moldova,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",76.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
498,Republic of Moldova,2020,"Safely managed drinking water sources, total (Proportion of population with access)",74.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
498,Republic of Moldova,2020,"Safely managed sanitation facilities, urban (Proportion of population with access)",78.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
638,Réunion,2010,"Safely managed drinking water sources, total (Proportion of population with access)",99.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
638,Réunion,2015,"Safely managed drinking water sources, total (Proportion of population with access)",96.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
638,Réunion,2020,"Safely managed drinking water sources, total (Proportion of population with access)",94.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
642,Romania,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",95.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
642,Romania,2010,"Safely managed drinking water sources, rural (Proportion of population with access)",66.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
642,Romania,2010,"Safely managed drinking water sources, total (Proportion of population with access)",81.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
642,Romania,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",62.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
642,Romania,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",95.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
642,Romania,2015,"Safely managed drinking water sources, rural (Proportion of population with access)",66.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
642,Romania,2015,"Safely managed drinking water sources, total (Proportion of population with access)",81.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
642,Romania,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",72.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
642,Romania,2020,"Safely managed drinking water sources, urban (Proportion of population with access)",95.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
642,Romania,2020,"Safely managed drinking water sources, rural (Proportion of population with access)",66.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
642,Romania,2020,"Safely managed drinking water sources, total (Proportion of population with access)",82.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
642,Romania,2020,"Safely managed sanitation facilities, total (Proportion of population with access)",83.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
643,Russian Federation,2010,"Safely managed drinking water sources, total (Proportion of population with access)",75.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
643,Russian Federation,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",62.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
643,Russian Federation,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",46.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
643,Russian Federation,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",58.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
643,Russian Federation,2015,"Safely managed drinking water sources, total (Proportion of population with access)",75.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
643,Russian Federation,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",63.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
643,Russian Federation,2015,"Safely managed sanitation facilities, rural (Proportion of population with access)",49.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
643,Russian Federation,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",59.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
643,Russian Federation,2020,"Safely managed drinking water sources, total (Proportion of population with access)",76.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
643,Russian Federation,2020,"Safely managed sanitation facilities, urban (Proportion of population with access)",63.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
643,Russian Federation,2020,"Safely managed sanitation facilities, rural (Proportion of population with access)",52.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
643,Russian Federation,2020,"Safely managed sanitation facilities, total (Proportion of population with access)",60.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
646,Rwanda,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",35.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
646,Rwanda,2010,"Safely managed drinking water sources, rural (Proportion of population with access)",2.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
646,Rwanda,2010,"Safely managed drinking water sources, total (Proportion of population with access)",8.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
646,Rwanda,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",43.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
646,Rwanda,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",40.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
646,Rwanda,2015,"Safely managed drinking water sources, rural (Proportion of population with access)",3.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
646,Rwanda,2015,"Safely managed drinking water sources, total (Proportion of population with access)",10.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
646,Rwanda,2015,"Safely managed sanitation facilities, rural (Proportion of population with access)",49.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
646,Rwanda,2020,"Safely managed drinking water sources, urban (Proportion of population with access)",45.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
646,Rwanda,2020,"Safely managed drinking water sources, rural (Proportion of population with access)",5.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
646,Rwanda,2020,"Safely managed drinking water sources, total (Proportion of population with access)",12.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
646,Rwanda,2020,"Safely managed sanitation facilities, rural (Proportion of population with access)",53.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
652,Saint Barthélemy,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",99.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
652,Saint Barthélemy,2010,"Safely managed drinking water sources, total (Proportion of population with access)",99.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
652,Saint Barthélemy,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",99.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
652,Saint Barthélemy,2015,"Safely managed drinking water sources, total (Proportion of population with access)",99.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
652,Saint Barthélemy,2020,"Safely managed drinking water sources, urban (Proportion of population with access)",100.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
652,Saint Barthélemy,2020,"Safely managed drinking water sources, total (Proportion of population with access)",100.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
654,Saint Helena,2010,"Safely managed drinking water sources, total (Proportion of population with access)",88.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
654,Saint Helena,2015,"Safely managed drinking water sources, total (Proportion of population with access)",89.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
654,Saint Helena,2020,"Safely managed drinking water sources, total (Proportion of population with access)",89.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
663,Saint Martin (French part),2010,"Safely managed drinking water sources, urban (Proportion of population with access)",96.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
663,Saint Martin (French part),2010,"Safely managed drinking water sources, total (Proportion of population with access)",96.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
663,Saint Martin (French part),2015,"Safely managed drinking water sources, urban (Proportion of population with access)",96.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
663,Saint Martin (French part),2015,"Safely managed drinking water sources, total (Proportion of population with access)",96.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
663,Saint Martin (French part),2020,"Safely managed drinking water sources, urban (Proportion of population with access)",96.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
663,Saint Martin (French part),2020,"Safely managed drinking water sources, total (Proportion of population with access)",96.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
666,Saint Pierre and Miquelon,2010,"Safely managed drinking water sources, total (Proportion of population with access)",83.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
666,Saint Pierre and Miquelon,2015,"Safely managed drinking water sources, total (Proportion of population with access)",83.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
666,Saint Pierre and Miquelon,2020,"Safely managed drinking water sources, total (Proportion of population with access)",83.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
882,Samoa,2010,"Safely managed drinking water sources, total (Proportion of population with access)",45.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
882,Samoa,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",38.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
882,Samoa,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",50.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
882,Samoa,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",48.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
882,Samoa,2015,"Safely managed drinking water sources, total (Proportion of population with access)",46.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
882,Samoa,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",37.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
882,Samoa,2015,"Safely managed sanitation facilities, rural (Proportion of population with access)",50.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
882,Samoa,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",47.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
882,Samoa,2020,"Safely managed drinking water sources, total (Proportion of population with access)",46.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
882,Samoa,2020,"Safely managed sanitation facilities, urban (Proportion of population with access)",36.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
882,Samoa,2020,"Safely managed sanitation facilities, rural (Proportion of population with access)",50.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
882,Samoa,2020,"Safely managed sanitation facilities, total (Proportion of population with access)",47.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
674,San Marino,2010,"Safely managed drinking water sources, total (Proportion of population with access)",100.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
674,San Marino,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",70.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
674,San Marino,2015,"Safely managed drinking water sources, total (Proportion of population with access)",100.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
674,San Marino,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",70.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
674,San Marino,2020,"Safely managed drinking water sources, total (Proportion of population with access)",100.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
674,San Marino,2020,"Safely managed sanitation facilities, total (Proportion of population with access)",70.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
678,Sao Tome and Principe,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",36.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
678,Sao Tome and Principe,2010,"Safely managed drinking water sources, rural (Proportion of population with access)",21.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
678,Sao Tome and Principe,2010,"Safely managed drinking water sources, total (Proportion of population with access)",31.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
678,Sao Tome and Principe,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",26.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
678,Sao Tome and Principe,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",18.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
678,Sao Tome and Principe,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",23.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
678,Sao Tome and Principe,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",38.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
678,Sao Tome and Principe,2015,"Safely managed drinking water sources, rural (Proportion of population with access)",23.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
678,Sao Tome and Principe,2015,"Safely managed drinking water sources, total (Proportion of population with access)",34.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
678,Sao Tome and Principe,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",31.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
678,Sao Tome and Principe,2015,"Safely managed sanitation facilities, rural (Proportion of population with access)",24.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
678,Sao Tome and Principe,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",29.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
678,Sao Tome and Principe,2020,"Safely managed drinking water sources, urban (Proportion of population with access)",40.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
678,Sao Tome and Principe,2020,"Safely managed drinking water sources, rural (Proportion of population with access)",24.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
678,Sao Tome and Principe,2020,"Safely managed drinking water sources, total (Proportion of population with access)",36.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
678,Sao Tome and Principe,2020,"Safely managed sanitation facilities, urban (Proportion of population with access)",36.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
678,Sao Tome and Principe,2020,"Safely managed sanitation facilities, rural (Proportion of population with access)",30.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
678,Sao Tome and Principe,2020,"Safely managed sanitation facilities, total (Proportion of population with access)",34.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
682,Saudi Arabia,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",47.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
682,Saudi Arabia,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",53.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
